,y_pred
2023-03-31 12:30,25312.2555
2023-03-31 12:40,25077.6597
2023-03-31 12:50,25001.4114
2023-03-31 13:00,24825.6014
2023-03-31 13:10,24797.0215
2023-03-31 13:20,24659.865
2023-03-31 13:30,24662.6284
2023-03-31 13:40,24550.8876
2023-03-31 13:50,24574.2603
2023-03-31 14:00,24479.2311
2023-03-31 14:10,24516.1549
2023-03-31 14:20,24432.1141
2023-03-31 14:30,24477.9481
2023-03-31 14:40,24401.1325
2023-03-31 14:50,24452.8253
2023-03-31 15:00,24380.7604
2023-03-31 15:10,24436.3055
2023-03-31 15:20,24367.3645
2023-03-31 15:30,24425.4426
2023-03-31 15:40,24358.5554
2023-03-31 15:50,24418.2991
2023-03-31 16:00,24352.7625
2023-03-31 16:10,24413.6013
2023-03-31 16:20,24348.9527
